hour,trips,avg_speed_mph,median_speed_mph
0,174178,16.49,14.0
1,145789,16.39,14.4
2,119772,16.25,15.0
3,87754,16.86,15.43
4,58422,19.29,16.8
5,46358,23.48,19.71
6,61387,21.53,18.0
7,119565,15.88,13.2
8,195970,13.23,10.8
9,228657,13.41,10.29
10,217927,14.79,11.25
11,230913,15.15,11.4
12,253840,14.52,11.0
13,257721,14.08,10.8
14,252497,13.82,11.0
15,259631,13.34,11.0
16,280921,12.51,10.5
17,303942,11.29,9.43
18,328717,11.46,9.6
19,325273,13.23,11.0
20,284571,15.2,12.0
21,251136,16.41,13.2
22,237883,16.26,13.5
23,209221,16.22,13.64
