fare_from,fare_to,trips
0.0,1.31,56
1.31,2.61,56
2.61,3.92,29230
3.92,5.22,390769
5.22,6.53,954020
6.53,7.84,716568
7.84,9.14,571222
9.14,10.45,415787
10.45,11.76,358067
11.76,13.06,223783
13.06,14.37,173076
14.37,15.68,133417
15.68,16.98,107328
16.98,18.29,103470
18.29,19.59,68271
19.59,20.9,56368
20.9,22.21,47102
22.21,23.51,45777
23.51,24.82,31245
24.82,26.12,27216
26.12,27.43,23592
27.43,28.74,22033
28.74,30.04,27343
30.04,31.35,23088
31.35,32.66,29544
32.66,33.96,37157
33.96,35.27,44580
35.27,36.58,34124
36.58,37.88,32088
37.88,39.19,30639
39.19,40.49,28850
40.49,41.8,41112
41.8,43.11,62015
43.11,44.41,93257
44.41,45.72,89140
45.72,47.02,61501
47.02,48.33,23891
48.33,49.64,13912
49.64,50.94,11504
50.94,52.25,10513
