trip_miles,fare
1.8,9.75
1.1,6.0
2.0,8.25
2.6,7.25
1.8,13.25
15.8,41.25
0.8,6.0
1.1,43.75
0.7,6.75
1.6,7.0
1.2,6.25
1.2,6.5
0.9,5.5
1.7,8.5
2.8,6.0
0.8,6.5
5.4,16.0
18.4,46.5
2.3,9.75
0.4,4.5
13.6,41.75
3.6,13.75
1.3,7.25
0.7,6.75
0.8,5.75
1.0,6.0
0.6,5.25
0.1,12.0
0.8,6.25
18.11,47.0
2.7,11.75
2.0,9.75
0.5,4.75
6.4,18.0
14.1,38.0
17.9,50.75
16.9,41.75
2.7,10.5
0.1,3.5
1.6,7.5
4.0,13.25
1.1,44.5
0.9,6.0
4.3,14.0
1.2,9.0
0.8,7.5
12.6,32.25
0.96,6.0
1.8,8.0
1.0,7.25
1.3,8.0
1.4,7.5
3.1,12.75
0.2,12.25
0.1,10.0
1.0,6.25
2.1,9.0
0.9,6.5
0.8,5.75
1.0,7.25
1.5,7.75
1.1,7.0
1.1,47.5
1.6,7.75
1.3,6.75
1.4,7.5
0.5,5.25
2.1,8.75
0.4,4.5
4.5,14.25
0.8,6.25
0.1,8.75
0.2,14.0
1.6,9.5
1.2,7.25
3.7,11.75
1.1,7.0
3.2,11.75
5.0,15.0
12.3,32.0
18.1,44.0
17.8,50.5
3.6,13.0
3.73,12.5
1.0,5.75
0.81,5.75
1.3,6.5
2.0,8.75
2.0,8.0
0.1,10.0
0.9,7.0
1.1,7.0
1.6,8.75
1.0,7.0
2.0,9.0
1.1,8.25
1.0,43.25
1.5,7.5
0.5,6.5
1.6,6.05
3.0,13.5
4.5,14.75
2.9,13.25
1.0,5.75
0.7,4.75
0.9,7.5
0.1,3.75
4.2,13.5
1.4,7.0
0.5,4.5
1.0,6.25
1.1,6.75
0.4,4.5
27.1,65.5
2.6,10.25
0.7,5.0
3.2,12.75
1.0,5.75
1.5,7.0
0.7,5.25
1.5,9.25
8.3,23.25
2.4,10.25
1.0,6.0
2.7,11.75
1.51,8.75
2.2,10.75
1.1,7.5
7.6,21.75
0.7,5.5
1.98,10.0
0.7,31.5
0.4,22.25
1.7,8.5
5.4,16.75
0.9,6.0
2.7,10.25
0.95,5.5
12.3,32.5
1.1,6.25
2.1,10.5
0.7,5.25
4.2,15.25
1.4,7.5
2.3,10.25
3.9,13.0
18.0,48.25
0.4,22.5
0.5,4.5
1.1,7.0
1.3,7.5
0.7,5.5
12.3,33.75
2.1,10.75
1.2,6.5
0.98,5.75
0.7,6.5
0.9,6.0
0.1,12.25
0.8,5.75
2.9,11.0
3.8,15.25
5.6,17.5
0.8,5.75
4.3,13.5
12.8,35.0
15.5,40.0
8.8,33.5
1.5,7.5
1.1,6.5
16.9,42.25
0.5,5.0
10.1,27.25
19.4,41.45
1.2,7.5
0.2,12.25
2.1,10.25
3.9,14.0
1.0,5.75
1.8,8.0
0.8,5.75
0.8,5.5
0.1,8.25
0.3,16.0
2.3,9.0
1.0,6.0
1.3,6.75
3.7,12.0
1.4,8.0
1.6,8.5
11.7,31.0
3.9,14.25
0.1,8.5
1.0,6.0
3.1,12.25
0.6,5.5
0.8,5.75
17.8,45.0
13.1,39.0
1.3,8.0
1.0,5.5
0.9,6.0
1.1,45.25
14.8,42.75
2.5,9.75
2.0,9.0
0.2,13.25
11.3,33.5
0.8,34.5
0.6,4.75
1.3,6.5
28.3,68.25
1.4,7.5
6.8,20.0
1.6,7.5
1.0,6.0
1.5,8.0
15.8,8.0
15.5,44.0
7.2,21.25
0.7,5.5
0.4,4.25
1.1,6.75
0.5,25.5
1.3,7.75
0.9,5.5
2.4,9.5
0.1,8.5
2.3,10.75
0.7,32.5
17.8,45.0
2.0,9.5
0.9,6.0
2.7,12.0
1.4,7.25
17.4,44.75
0.1,8.75
2.05,9.25
0.8,5.75
4.1,13.75
0.9,5.75
13.2,33.75
0.5,5.0
1.7,8.75
1.8,8.25
2.2,9.75
0.6,4.75
2.2,9.5
1.8,8.25
0.6,5.25
0.1,9.25
2.3,12.25
1.1,6.5
13.2,35.25
4.2,14.25
16.1,40.5
16.9,41.5
1.33,9.5
4.7,14.75
4.6,16.0
1.8,9.25
6.4,19.75
3.3,10.75
0.1,8.5
18.7,44.0
2.6,11.25
2.9,10.5
2.2,9.0
0.6,5.25
0.6,28.25
0.8,5.5
3.56,21.0
1.76,8.25
0.1,8.75
0.8,5.25
1.3,7.0
0.1,10.25
18.2,47.25
4.4,15.0
1.18,7.75
2.9,11.0
0.7,9.0
1.5,7.75
4.4,16.5
4.9,17.75
2.66,10.75
7.0,20.25
6.7,19.0
13.2,37.75
18.3,46.25
1.8,7.75
1.0,7.0
6.4,18.25
1.6,8.5
5.7,17.5
1.0,6.25
0.7,5.0
0.6,6.5
5.9,17.0
1.0,7.25
1.1,8.0
17.4,44.0
3.3,12.0
1.1,7.25
6.4,18.5
3.9,13.5
18.0,45.0
0.9,5.25
1.5,8.5
4.7,15.0
0.9,5.75
3.1,11.25
0.3,17.25
17.8,44.25
0.6,5.0
5.3,15.5
5.4,16.5
0.5,4.75
0.3,30.0
18.1,47.0
0.9,39.0
7.8,21.25
0.6,5.25
0.8,5.75
18.2,44.75
0.5,4.75
3.3,10.75
1.0,12.0
0.6,5.25
0.9,6.0
1.1,7.0
1.0,5.75
0.3,17.75
0.4,4.75
0.8,5.25
24.9,59.75
2.4,9.0
0.5,7.0
0.6,5.0
0.38,12.5
13.1,33.25
12.3,32.5
9.7,26.05
1.7,7.25
1.72,8.75
43.9,103.25
17.3,43.25
17.8,44.0
7.3,21.75
3.7,12.0
0.8,6.75
6.2,18.75
0.7,5.75
4.3,14.5
0.8,5.5
0.6,5.25
1.5,12.25
2.5,10.5
3.8,13.25
18.8,47.5
0.1,12.75
3.6,15.0
2.7,10.0
1.0,7.0
1.4,7.25
1.4,7.25
0.4,4.25
1.5,8.0
0.1,7.75
1.6,8.25
1.1,46.0
15.0,39.0
0.6,5.0
0.1,9.0
12.3,36.5
0.8,6.0
0.9,5.75
0.5,5.0
0.2,13.5
0.3,17.75
7.6,21.75
4.2,14.5
1.9,9.0
0.8,5.25
1.1,6.25
17.4,42.5
0.3,4.0
0.8,5.75
0.9,6.0
1.8,7.75
0.1,12.0
1.0,43.25
16.8,41.75
0.6,12.75
2.2,8.5
2.5,13.25
2.7,10.0
3.6,13.0
1.9,8.85
1.0,6.5
1.8,9.0
1.5,7.5
5.1,16.0
0.1,8.25
0.9,6.0
8.1,22.25
0.2,13.0
11.5,33.75
0.1,10.75
19.3,46.5
2.9,12.75
1.6,8.25
0.1,8.0
6.1,17.5
9.5,25.0
0.4,4.75
1.5,7.25
0.5,5.75
2.17,9.5
14.9,37.0
2.7,10.75
25.1,62.5
0.9,5.5
1.9,9.5
13.9,36.5
1.2,8.5
4.7,15.75
4.2,13.75
1.2,7.0
1.0,43.25
1.2,7.25
1.1,7.0
2.7,10.5
0.1,9.25
4.0,14.0
0.4,4.75
5.7,14.45
1.2,6.75
0.5,5.5
0.5,4.5
0.9,5.75
0.9,6.0
1.2,7.0
0.9,5.75
1.8,8.25
4.71,15.25
10.4,27.5
1.2,6.5
1.39,8.5
2.8,10.0
0.6,4.5
5.7,17.5
0.7,5.5
1.1,5.75
1.0,6.0
3.3,12.25
11.8,30.75
0.7,5.5
18.1,44.0
1.9,9.5
3.4,10.75
1.9,8.5
13.3,33.5
18.0,44.25
0.2,14.25
13.7,36.0
1.9,9.0
0.7,5.5
0.4,4.75
0.4,4.0
1.0,5.5
15.1,40.5
0.9,6.0
16.7,41.5
18.0,47.0
2.4,10.75
1.4,8.25
0.5,5.75
2.0,9.25
1.4,6.75
0.5,4.5
0.7,5.25
4.0,15.75
1.4,9.75
2.5,10.0
18.4,45.0
1.0,43.5
16.8,41.75
8.1,24.5
1.1,7.0
3.0,10.5
0.8,5.75
1.9,7.5
1.8,8.75
2.0,11.75
11.1,32.0
0.6,6.75
1.5,8.75
2.1,9.75
0.9,5.75
3.7,12.75
16.7,52.0
1.2,7.0
0.2,13.75
0.9,7.25
5.6,13.85
0.1,3.5
0.1,4.0
1.7,8.5
18.4,46.0
0.6,5.25
16.4,40.75
1.7,10.25
1.3,13.0
1.2,6.75
0.1,10.0
1.1,6.5
1.0,6.0
4.0,27.75
0.6,4.75
10.3,27.0
0.8,5.75
3.5,12.25
5.2,17.0
0.6,5.25
0.6,5.0
18.0,51.75
0.2,4.5
