hour,trips,avg_fare,median_fare
0,187302,13.05,9.5
1,156453,12.28,9.25
2,128409,11.48,9.0
3,94709,11.67,9.05
4,62764,14.07,10.0
5,48875,20.36,13.25
6,63390,21.14,12.75
7,123828,15.79,8.75
8,206286,13.63,8.5
9,243134,13.86,8.5
10,230897,14.6,8.75
11,242984,14.8,8.5
12,266993,14.84,8.5
13,272141,14.91,8.5
14,266636,15.3,8.75
15,274760,15.75,9.0
16,298831,15.36,9.0
17,324379,14.3,9.25
18,352466,13.58,9.25
19,349711,13.67,9.0
20,304712,14.17,9.25
21,266656,14.53,9.25
22,253328,13.95,9.5
23,224914,13.27,9.5
