pickup_community_area,dropoff_community_area,trips,avg_fare,avg_trip_miles
8.0,8.0,544874,6.520275366414994,1.1840176077405031
32.0,8.0,383443,7.650811437423557,1.4091163484533271
8.0,32.0,380608,7.7547177936354466,1.4177865152597722
32.0,32.0,259339,6.499226764967859,1.1599967995557836
8.0,28.0,168438,9.441266756907586,1.903654519763879
32.0,28.0,159651,7.563429480554459,1.421297079254103
28.0,8.0,139493,9.052750747349332,1.7845778641223027
28.0,32.0,117001,7.109793506038417,1.2708122152801797
8.0,7.0,107108,9.99569817380588,2.278423180341292
76.0,8.0,92679,44.067672611918546,15.380565823972606
8.0,6.0,87792,14.300621468926561,3.836906437944212
8.0,24.0,75075,10.463490243090241,2.3771183483183487
6.0,6.0,67012,6.525990419626363,1.3636926222169328
76.0,32.0,65211,45.14102206682922,15.738293232736206
8.0,76.0,61560,44.82201169590643,15.127621994801933
28.0,28.0,60880,7.001980781865964,1.5273309789750038
7.0,8.0,59451,9.462572875140872,2.076808632319081
32.0,33.0,56008,9.720964505070702,2.078966397657498
8.0,33.0,51975,12.54212178932179,2.905749494949509
6.0,8.0,51640,13.943956235476346,3.64133810999227
