hour,trips,avg_speed_mph,median_speed_mph
0,174197,16.493998027336616,13.999232221020423
1,145796,16.390013368537637,14.400057600230397
2,119775,16.254647308556407,14.999925000374997
3,87757,16.861496495727494,15.428527347064723
4,58426,19.288741652248174,16.8000672002688
5,46362,23.479251940508362,19.714271632663117
6,61392,21.529906524366947,17.99999637854068
7,119570,15.883152619200153,13.199954969329099
8,196004,13.227941940900589,10.79473504697687
9,228704,13.411618999221304,10.284904513963081
10,217963,14.78507521660841,11.249788136473812
11,230918,15.150106181940401,11.399840659159764
12,253847,14.516255438375246,10.997141690036743
13,257746,14.077561031031955,10.797796289577983
14,252523,13.815991649394157,10.9964537213489
15,259693,13.337317418219174,10.992324140778635
16,281017,12.504123441880328,10.496324474784204
17,304031,11.2882185724371,9.426902941899906
18,328797,11.461809904530934,9.598354478318136
19,325334,13.23004524361682,10.998423454148236
20,284585,15.20418695605811,11.996915801577217
21,251135,16.411779438069065,13.198243321542872
22,237887,16.25549951588829,13.496488468457386
23,209231,16.2192293227851,13.635674396508694
