weekday_name,hour,trips
Friday,2,17295
Friday,3,12438
Friday,5,6979
Friday,6,10689
Friday,10,41366
Friday,11,44228
Friday,12,50872
Friday,13,52647
Friday,16,55866
Friday,19,67566
Friday,20,58165
Friday,22,50548
Friday,23,50814
Monday,1,11063
Monday,4,5191
Monday,5,6897
Monday,7,19920
Monday,8,32430
Monday,9,37470
Monday,10,33229
Monday,11,32427
Monday,12,35087
Monday,15,35281
Monday,19,41898
Monday,22,25453
Saturday,2,41517
Saturday,3,28840
Saturday,5,7818
Saturday,7,8658
Saturday,11,30393
Saturday,13,35437
Saturday,19,58254
Saturday,20,52054
Saturday,22,52482
Sunday,2,47472
Sunday,3,38046
Sunday,5,14199
Sunday,7,8239
Sunday,9,14591
Sunday,11,26224
Sunday,12,28902
Sunday,13,29750
Sunday,18,32081
Sunday,21,25529
Sunday,23,20902
Thursday,0,15866
Thursday,2,5775
Thursday,6,9145
Thursday,8,37607
Thursday,11,37397
Thursday,12,40608
Thursday,14,40801
Thursday,15,41283
Thursday,16,44535
Thursday,17,48136
Thursday,19,52228
Thursday,20,46936
Tuesday,0,11948
Tuesday,1,7142
Tuesday,2,4478
Tuesday,3,3022
Tuesday,8,36077
Tuesday,9,41224
Tuesday,10,35311
Tuesday,13,37637
Tuesday,16,40481
Tuesday,18,48408
Wednesday,0,12435
Wednesday,1,7453
Wednesday,2,4473
Wednesday,3,3098
Wednesday,4,2755
Wednesday,5,4233
Wednesday,6,8937
Wednesday,7,21840
Wednesday,9,42667
Wednesday,11,37584
Wednesday,12,40129
Wednesday,14,38753
Wednesday,15,39278
Wednesday,20,45106
Wednesday,21,38735
Wednesday,22,33484
Wednesday,23,24590
Friday,0,27690
Friday,1,21569
Friday,4,8388
Friday,7,22737
Friday,8,38748
Friday,9,45044
Friday,14,50501
Friday,15,52315
Friday,17,59858
Friday,18,66271
Friday,21,49753
Monday,0,15165
Monday,2,7394
Monday,3,5347
Monday,6,11324
Monday,13,35350
Monday,14,34280
Monday,16,38938
Monday,17,42853
Monday,18,45650
Monday,20,34747
Monday,21,29453
Monday,23,19295
Saturday,0,49998
Saturday,1,47544
Saturday,4,16625
Saturday,6,6023
Saturday,8,13317
Saturday,9,19484
Saturday,10,25602
Saturday,12,33775
Saturday,14,36643
Saturday,15,38864
Saturday,16,43005
Saturday,17,48272
Saturday,18,55282
Saturday,21,46665
Saturday,23,57795
Sunday,0,54188
Sunday,1,52086
Sunday,4,23767
Sunday,6,8336
Sunday,8,9976
Sunday,10,21141
Sunday,14,28937
Sunday,15,30439
Sunday,16,31907
Sunday,17,31799
Sunday,19,31188
Sunday,20,27642
Sunday,22,23700
Thursday,1,9587
Thursday,3,3910
Thursday,4,3277
Thursday,5,4417
Thursday,7,21784
Thursday,9,42642
Thursday,10,37330
Thursday,13,41226
Thursday,18,52234
Thursday,21,42497
Thursday,22,38851
Thursday,23,30974
Tuesday,4,2754
Tuesday,5,4331
Tuesday,6,8932
Tuesday,7,20646
Tuesday,11,34708
Tuesday,12,37593
Tuesday,14,36691
Tuesday,15,37273
Tuesday,17,45044
Tuesday,19,46535
Tuesday,20,40027
Tuesday,21,33991
Tuesday,22,28786
Tuesday,23,20532
Wednesday,8,38115
Wednesday,10,36895
Wednesday,13,40071
Wednesday,16,44081
Wednesday,17,48395
Wednesday,18,52513
Wednesday,19,52008
