pickup_community_area,trips,avg_fare,avg_trip_miles
8.0,1616173,11.102315927812189,2.704875963154553
32.0,1147310,11.485843965449611,2.8474439950840034
28.0,433694,10.82215891850013,2.5679833246479418
76.0,363229,39.31249010954535,13.500218347104102
6.0,279831,12.773888704253633,3.280087302693118
7.0,213340,11.443915112027751,2.7727577106963897
24.0,132079,11.398321459126715,2.773237304946402
33.0,112763,14.380186852070262,3.819911318428795
56.0,96324,34.51245131016147,10.50964038038272
3.0,68660,13.64026740460239,3.642408826099735
77.0,44414,14.393386094474723,3.835368577475615
22.0,40092,12.549686471116436,3.2203489474209523
5.0,21705,14.034047915226902,3.6281916609075675
4.0,18331,13.70831487643882,3.592361027767095
1.0,16978,14.339684886323475,3.7601684532924557
