var_x,var_y,corr_value
fare,fare,1.0
fare,trip_miles,0.8
fare,trip_seconds,0.858
fare,duration_minutes,0.858
fare,fare_per_mile,-0.019
fare,speed_mph,0.013
fare,tips,0.577
fare,tolls,0.044
fare,extras,0.08
fare,trip_total,0.673
trip_miles,fare,0.8
trip_miles,trip_miles,1.0
trip_miles,trip_seconds,0.65
trip_miles,duration_minutes,0.65
trip_miles,fare_per_mile,-0.239
trip_miles,speed_mph,0.149
trip_miles,tips,0.461
trip_miles,tolls,0.044
trip_miles,extras,0.065
trip_miles,trip_total,0.54
trip_seconds,fare,0.858
trip_seconds,trip_miles,0.65
trip_seconds,trip_seconds,1.0
trip_seconds,duration_minutes,1.0
trip_seconds,fare_per_mile,0.015
trip_seconds,speed_mph,-0.019
trip_seconds,tips,0.478
trip_seconds,tolls,0.022
trip_seconds,extras,0.055
trip_seconds,trip_total,0.566
duration_minutes,fare,0.858
duration_minutes,trip_miles,0.65
duration_minutes,trip_seconds,1.0
duration_minutes,duration_minutes,1.0
duration_minutes,fare_per_mile,0.015
duration_minutes,speed_mph,-0.019
duration_minutes,tips,0.478
duration_minutes,tolls,0.022
duration_minutes,extras,0.055
duration_minutes,trip_total,0.566
fare_per_mile,fare,-0.019
fare_per_mile,trip_miles,-0.239
fare_per_mile,trip_seconds,0.015
fare_per_mile,duration_minutes,0.015
fare_per_mile,fare_per_mile,1.0
fare_per_mile,speed_mph,-0.023
fare_per_mile,tips,-0.027
fare_per_mile,tolls,-0.004
fare_per_mile,extras,-0.001
fare_per_mile,trip_total,-0.015
speed_mph,fare,0.013
speed_mph,trip_miles,0.149
speed_mph,trip_seconds,-0.019
speed_mph,duration_minutes,-0.019
speed_mph,fare_per_mile,-0.023
speed_mph,speed_mph,1.0
speed_mph,tips,-0.003
speed_mph,tolls,0.001
speed_mph,extras,0.001
speed_mph,trip_total,0.007
tips,fare,0.577
tips,trip_miles,0.461
tips,trip_seconds,0.478
tips,duration_minutes,0.478
tips,fare_per_mile,-0.027
tips,speed_mph,-0.003
tips,tips,1.0
tips,tolls,0.036
tips,extras,0.061
tips,trip_total,0.481
tolls,fare,0.044
tolls,trip_miles,0.044
tolls,trip_seconds,0.022
tolls,duration_minutes,0.022
tolls,fare_per_mile,-0.004
tolls,speed_mph,0.001
tolls,tips,0.036
tolls,tolls,1.0
tolls,extras,0.016
tolls,trip_total,0.046
extras,fare,0.08
extras,trip_miles,0.065
extras,trip_seconds,0.055
extras,duration_minutes,0.055
extras,fare_per_mile,-0.001
extras,speed_mph,0.001
extras,tips,0.061
extras,tolls,0.016
extras,extras,1.0
extras,trip_total,0.784
trip_total,fare,0.673
trip_total,trip_miles,0.54
trip_total,trip_seconds,0.566
trip_total,duration_minutes,0.566
trip_total,fare_per_mile,-0.015
trip_total,speed_mph,0.007
trip_total,tips,0.481
trip_total,tolls,0.046
trip_total,extras,0.784
trip_total,trip_total,1.0
