pickup_community_area,dropoff_community_area,trips,avg_fare,avg_trip_miles,route
8.0,8.0,544884,6.52,1.18,8 to 8
32.0,8.0,383459,7.65,1.41,32 to 8
8.0,32.0,380626,7.75,1.42,8 to 32
32.0,32.0,259341,6.5,1.16,32 to 32
8.0,28.0,168447,9.44,1.9,8 to 28
32.0,28.0,159659,7.56,1.42,32 to 28
28.0,8.0,139495,9.05,1.78,28 to 8
28.0,32.0,117003,7.11,1.27,28 to 32
8.0,7.0,107128,10.0,2.28,8 to 7
76.0,8.0,92691,44.07,15.38,76 to 8
8.0,6.0,87812,14.3,3.84,8 to 6
8.0,24.0,75082,10.46,2.38,8 to 24
6.0,6.0,67015,6.53,1.36,6 to 6
76.0,32.0,65222,45.14,15.74,76 to 32
8.0,76.0,61566,44.82,15.13,8 to 76
28.0,28.0,60882,7.0,1.53,28 to 28
7.0,8.0,59473,9.46,2.08,7 to 8
32.0,33.0,56014,9.72,2.08,32 to 33
8.0,33.0,51988,12.54,2.91,8 to 33
6.0,8.0,51652,13.94,3.64,6 to 8
